student_id,date,program,location,score_reading,score_writing,score_mathNoCalc,score_mathCalc
128369,03/11/2018,intake,NA,639,51,248,459
128369,10/11/2018,tutoring,online,666,53,262,477
128369,29/11/2018,skills,center,671,54,277,500
128389,17/09/2017,intake,NA,422,62,371,685
128389,03/10/2017,skills,center,430,65,385,686
128389,09/10/2017,tutoring,center,437,68,398,712
128391,23/07/2017,intake,NA,579,52,441,517
128391,28/08/2017,skills,center,587,53,468,536
128391,14/09/2017,skills,center,609,57,500,568
128391,16/11/2017,skills,center,624,57,504,570
128407,19/02/2016,intake,NA,720,48,615,602
128407,22/03/2016,refresh,center,727,47,618,603
128407,25/04/2016,tutoring,center,743,48,642,604
128412,21/12/2016,intake,NA,632,24,433,322
128412,15/01/2017,skills,center,641,24,452,339
128412,06/02/2017,skills,center,664,26,476,357
128420,17/12/2016,intake,NA,748,48,555,743
128420,10/01/2017,skills,center,767,50,570,756
128434,15/08/2017,intake,NA,633,38,463,421
128434,03/09/2017,refresh,online,638,38,465,421
128434,20/09/2017,skills,center,644,40,483,434
128434,25/10/2017,skills,center,671,41,506,457
128448,30/09/2016,intake,NA,453,19,165,619
128448,19/10/2016,skills,center,456,19,172,653
128448,27/10/2016,tutoring,center,466,19,181,672
128448,25/12/2016,skills,center,478,20,190,689
128454,22/11/2017,intake,NA,580,43,590,534
128454,10/12/2017,tutoring,center,588,45,618,556
128454,30/12/2017,refresh,online,603,45,639,569
128454,11/02/2018,skills,center,615,47,657,579
128462,23/05/2016,intake,NA,554,35,369,525
128462,23/06/2016,skills,center,551,35,389,532
128462,30/07/2016,tutoring,center,556,36,406,550
128462,03/10/2016,skills,center,574,38,434,560
128462,02/11/2016,skills,center,576,37,438,570
128474,24/06/2017,intake,NA,516,54,537,576
128474,09/07/2017,skills,center,532,55,559,585
128474,12/07/2017,skills,center,554,56,583,608
128474,13/10/2017,skills,center,557,57,589,602
128474,19/10/2017,refresh,online,563,58,611,628
128481,18/12/2017,intake,NA,653,54,647,551
128481,07/01/2018,skills,center,672,55,671,569
128482,03/08/2018,intake,NA,722,39,346,730
128482,10/08/2018,skills,center,722,40,360,747
128487,01/12/2017,intake,NA,621,53,613,459
128487,24/12/2017,tutoring,center,646,54,642,478
128487,07/01/2018,skills,center,671,55,665,489
128488,16/10/2016,intake,NA,582,38,606,729
128488,17/11/2016,refresh,center,585,38,608,729
128488,22/12/2016,tutoring,center,590,39,631,753
128488,04/01/2017,refresh,center,600,39,637,761
128488,11/01/2017,tutoring,center,628,40,662,782
128492,28/02/2017,intake,NA,524,44,489,578
128492,17/03/2017,skills,center,534,45,509,601
128495,08/04/2018,intake,NA,597,43,508,511
128495,24/04/2018,skills,center,613,45,538,531
128495,08/06/2018,tutoring,online,651,47,595,564
128495,15/08/2018,skills,center,684,50,622,588
128495,16/08/2018,tutoring,center,731,55,686,643
128506,11/06/2018,intake,NA,336,75,294,707
128506,16/07/2018,tutoring,center,356,78,320,760
128509,06/05/2017,intake,NA,550,57,394,596
128509,21/05/2017,tutoring,center,567,59,402,612
128509,07/07/2017,skills,center,581,60,409,627
128509,30/07/2017,tutoring,center,591,62,423,651
128524,20/02/2016,intake,NA,724,70,421,702
128524,20/03/2016,skills,center,741,70,432,724
128524,05/04/2016,skills,center,767,73,456,762
128524,25/06/2016,refresh,online,784,74,465,771
128530,08/10/2018,intake,NA,391,62,391,577
128530,27/10/2018,skills,center,402,64,403,592
128530,28/11/2018,skills,center,414,68,419,621
128530,21/01/2019,skills,center,423,68,421,629
128534,16/08/2016,intake,NA,594,51,584,473
128534,11/09/2016,tutoring,center,622,53,612,492
128539,24/06/2017,intake,NA,508,53,524,650
128539,06/07/2017,tutoring,center,527,55,545,681
128539,13/08/2017,tutoring,center,533,56,563,700
128549,06/06/2016,intake,NA,748,42,495,399
128549,23/06/2016,skills,center,774,44,508,409
128549,25/07/2016,refresh,online,776,44,516,417
128549,05/08/2016,tutoring,center,794,45,535,432
128560,27/08/2018,intake,NA,749,25,600,673
128560,20/09/2018,tutoring,online,783,27,635,707
128563,08/01/2016,intake,NA,489,80,334,714
128563,24/01/2016,skills,center,499,81,351,740
128563,05/02/2016,tutoring,center,511,84,372,757
128563,11/04/2016,refresh,online,510,84,381,769
128567,03/03/2016,intake,NA,453,52,290,576
128567,22/03/2016,skills,center,463,53,306,587
128568,12/03/2018,intake,NA,649,51,396,719
