student_id,district,street,city,state,zip,phone1,phone2,refer_code,int_date
128369,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,09/11/2018
128372,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128375,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128389,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,20/09/2017
128391,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,28/07/2017
128407,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128412,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128419,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128420,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128421,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128434,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128439,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,FF,NA
128445,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,AD,NA
128448,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,05/10/2016
128454,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128455,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128462,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,28/05/2016
128474,St. Paul,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128481,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,23/12/2017
128482,St. Paul,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128487,Ridgefield,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128488,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,20/10/2016
128492,St. Paul,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128495,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,14/04/2018
128496,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128506,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,16/06/2018
128509,St. Paul,XXX,XXX,XXX,XXX,XXX,XXX,NA,12/05/2017
128524,St. Paul,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128525,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128530,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,12/10/2018
128533,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128534,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,19/08/2016
128537,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128539,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128549,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,ML,10/06/2016
128560,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,02/09/2018
128563,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,13/01/2016
128567,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128568,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,AD,NA
128576,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,20/08/2017
128577,Ridgefield,XXX,XXX,XXX,XXX,XXX,XXX,ML,NA
128580,Ridgefield,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128584,St. Paul,XXX,XXX,XXX,XXX,XXX,XXX,NA,12/04/2017
128585,Ridgefield,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128586,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,26/01/2018
128595,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128596,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,03/02/2018
128600,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128613,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,ML,NA
128616,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128618,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128621,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128622,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128627,Ridgefield,XXX,XXX,XXX,XXX,XXX,XXX,AD,NA
128628,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,11/12/2016
128635,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128637,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,20/06/2017
128639,Riverdale,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128645,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,13/09/2017
128647,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128649,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128657,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,22/05/2016
128662,Ridgefield,XXX,XXX,XXX,XXX,XXX,XXX,NA,23/06/2017
128663,St. Paul,XXX,XXX,XXX,XXX,XXX,XXX,FF,01/12/2017
128666,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,31/03/2016
128667,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128672,Camas,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128674,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128678,Sherwood,XXX,XXX,XXX,XXX,XXX,XXX,NA,23/04/2017
128684,Lake Oswego,XXX,XXX,XXX,XXX,XXX,XXX,NA,18/08/2018
128688,Beaverton,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
128693,Ridgefield,XXX,XXX,XXX,XXX,XXX,XXX,AD,NA
128698,Wilsonville,XXX,XXX,XXX,XXX,XXX,XXX,NA,NA
